id;ten;email;sdt
1;Nigeria terrible;Perry93@gmail.com;Audi Metric
2;BMX Blues;Dawn_Howe@hotmail.com;squeaky Van
3;Corporate;Darrion_Hoeger@yahoo.com;Monitored m
4;support;Watson.Graham5@yahoo.com;LoanXXXXXX
5;Modern;Anais9@gmail.com;Books Route
6;Pants Ruby Rolls;Derick.Mayert13@hotmail.com;withdrawal 
7;rundown Diesel male;Rosalyn.Feeney15@gmail.com;Nissan Audi
8;azure Chips generation;Quincy79@yahoo.com;global sinc
9;gold male;Yadira.Pagac88@hotmail.com;Developer U
10;pink;Jakayla.Becker@gmail.com;drive East 
